Arctostaphylos_andersonii,0
Arctostaphylos_auriculata,1
Arctostaphylos_bakeri,0
Arctostaphylos_canescens,0
Arctostaphylos_catalinae,1
Arctostaphylos_columbiana,0
Arctostaphylos_cruzensis,0
Arctostaphylos_densiflora,1
Arctostaphylos_glandulosa,0
Arctostaphylos_glauca,0
Arctostaphylos_hispidula,0
Arctostaphylos_hookeri,0
Arctostaphylos_hooveri,0
Arctostaphylos_imbricata,1
Arctostaphylos_manzanita,0
Arctostaphylos_mendocinoensis,2
Arctostaphylos_mewukka,0
Arctostaphylos_montereyensis,0
Arctostaphylos_morroensis,0
Arctostaphylos_myrtifolia,0
Arctostaphylos_nissenana,0
Arctostaphylos_nummularia,0
Arctostaphylos_obispoensis,2
Arctostaphylos_pajaroensis,1
Arctostaphylos_pallida,0
Arctostaphylos_parryana,0
Arctostaphylos_patula,2
Arctostaphylos_pechoensis,0
Arctostaphylos_peninsularis,1
Arctostaphylos_pilosula,0
Arctostaphylos_pringlei,0
Arctostaphylos_pungens,0
Arctostaphylos_purissima,1
Arctostaphylos_refugioensis,1
Arctostaphylos_silvicola,0
Arctostaphylos_stanfordiana,0
Arctostaphylos_tomentosa,0
Arctostaphylos_uva-ursi,0
Arctostaphylos_viridissima,0
Arctostaphylos_viscida,0
